gene_id	gene_name	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	MANIPULATED_REP1	MANIPULATED_REP2	MANIPULATED_REP3
HRA1	HRA1	0	0	0	0	0	0
snR18	snR18	6	2	8	8	0	4
tA(UGC)A	TGA1	0	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0	0
tP(UGG)A	TRN1	1	0	0	0	0	0
tS(AGA)A	tS(AGA)A	0	0	0	0	0	0
YAL001C	TFC3	30	30	30	71	53	62
YAL002W	VPS8	30	33	25	33	45	37
YAL003W	EFB1	592	519	704	810	807	886
YAL004W	YAL004W	0	0	1	0	0	0
YAL005C	SSA1	4144	3826	4144	6088	6143	6657
YAL007C	ERP2	33	27	44	56	60	72
YAL008W	FUN14	3	7	3	17	14	10
YAL009W	SPO7	6	3	5	15	7	12
YAL010C	MDM10	14	16	10	12	16	20
YAL011W	SWC3	12	7	17	24	19	17
YAL012W	CYS3	176	208	230	231	282	253
YAL013W	DEP1	10	11	10	18	21	14
YAL014C	SYN8	14	14	17	20	20	22
YAL015C	NTG1	1	7	6	12	16	12
YAL016C-A	YAL016C-A	0	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0	0
YAL016W	TPD3	93	101	104	160	148	177
YAL017W	PSK1	52	49	60	113	97	112
YAL018C	LDS1	0	0	0	0	0	0
YAL019W	FUN30	106	80	83	111	121	117
YAL019W-A	YAL019W-A	0	0	0	0	0	0
YAL020C	ATS1	8	4	2	8	6	12
YAL021C	CCR4	78	56	78	102	109	94
YAL022C	FUN26	31	23	27	36	41	45
YAL023C	PMT2	216	213	244	323	353	307
YAL024C	LTE1	35	33	46	52	53	46
YAL025C	MAK16	30	19	21	29	30	26
YAL026C	DRS2	97.456	81.012	123.639	166	151.998	162.99
YAL026C-A	YAL026C-A	8.544	5.988	5.361	11	7.002	12.01
YAL027W	SAW1	2	3	2	10	7	13
YAL028W	FRT2	2	2	4	8	6	13
YAL029C	MYO4	136	105	139	177	170	189
YAL030W	SNC1	8	7	8	13	17	23
YAL031C	GIP4	21	14	15	40	25	47
YAL031W-A	YAL031W-A	0	0	0	0	0	0
YAL032C	PRP45	12	6	13	14	17	20
YAL033W	POP5	7	11	7	12	8	16
YAL034C	FUN19	6	5	6	16	21	23
YAL034C-B	YAL034C-B	0	0	0	0	0	0
YAL034W-A	MTW1	0	5	6	2	12	13
YAL035W	FUN12	381	374	388	480	448	423
YAL036C	RBG1	39	43	47	58	70	77
YAL037C-A	YAL037C-A	0	0	0	0	0	0
YAL037C-B	YAL037C-B	0	0	0	0	1	2
YAL037W	YAL037W	2	2	1	5	7	3
YAL038W	CDC19	5263	5009	6322	6368	6583	6870
YAL039C	CYC3	5	7	5	17	19	20
YAL040C	CLN3	23	27	36	44	32	60
YAL041W	CDC24	37	52	50	65	71	69
YAL042C-A	YAL042C-A	0	0	0	0	0	0
YAL042W	ERV46	82	86	102	146	133	158
YAL043C	PTA1	43	34	44	67	69	66
YAL044C	GCV3	20	27	25	57	72	51
YAL044W-A	YAL044W-A	2	5	3	3	8	6
YAL045C	YAL045C	0	0	0	0	0	1
YAL046C	AIM1	1	7	6	3	5	2
YAL047C	SPC72	7	12	14	24	21	19
YAL047W-A	YAL047W-A	0	0	0	0	0	0
YAL048C	GEM1	10	16	10	21	22	24
YAL049C	AIM2	17	16	12	37	30	35
YAL051W	OAF1	35	45	39	60	64	55
YAL053W	FLC2	69	64	65	129	120	142
YAL054C	ACS1	1	4	1	5	2	5
YAL055W	PEX22	0	1	2	1	4	1
YAL056C-A	YAL056C-A	0	0	0	0	0	0
YAL056W	GPB2	31	40	38	49	61	72
YAL058W	CNE1	21	18	26	27	29	20
YAL059C-A	YAL059C-A	0	0	0	0	0	0
YAL059W	ECM1	19	14	20	23	26	16
YAL060W	BDH1	23	20	28	53	38	76
YAL061W	BDH2	6	3	5	15	28	54
YAL062W	GDH3	6	7	4	18	17	17
YAL063C	FLO9	1.109	2.212	1.11	9.751	8.12	5.323
YAL063C-A	YAL063C-A	0	0	0	1	0	1
YAL064C-A	TDA8	0	0	0	0	0	0
YAL064W	YAL064W	0	0	0	0	1	1
YAL064W-B	YAL064W-B	1	0	0	0	1	0
YAL065C	YAL065C	0	0.788	0	0	0	0
YAL066W	YAL066W	0	0	0	0	0	0
YAL067C	SEO1	1	0	0	3	2	2
YAL067W-A	YAL067W-A	0	0	0	0	0	0
YAL068C	PAU8	2	1	1	3	9	6
YAL068W-A	YAL068W-A	0	0	0	0	1	0
YAL069W	YAL069W	0	0	0	1	1	0
YAR002C-A	ERP1	33	52	64	77	64	92
YAR002W	NUP60	33	28	39	60	48	73
YAR003W	SWD1	14	8	14	17	13	22
YAR007C	RFA1	54	41	45	67	57	69
YAR008W	SEN34	2	2	5	14	8	10
YAR009C	YAR009C	17016	18603	16851	16909	16680	16079
YAR010C	YAR010C	6317	7035	6079	6046	6110	5661
YAR014C	BUD14	36	31	50	61	84	84
YAR015W	ADE1	45	46	39	63	88	62
YAR018C	KIN3	13	12	14	14	15	13
YAR019C	CDC15	10	15	18	35	32	40
YAR019W-A	YAR019W-A	0	0	0	0	0	0
YAR020C	PAU7	0	0	0	0	0	0
YAR023C	YAR023C	2	0	0	1	5	0
YAR027W	UIP3	13	13	19	33	30	44
YAR028W	YAR028W	12	4	11	13	28	28
YAR029W	YAR029W	0	0	0	1	3	1
YAR030C	YAR030C	0	1	0	0	1	1
YAR031W	PRM9	6	5	8	13	16	26
YAR033W	MST28	3	2	3	12	10	10
YAR035C-A	YAR035C-A	0	0	0	0	0	0
YAR035W	YAT1	7	5	2	4	0	4
YAR042W	SWH1	66	61	74	105	95	103
YAR047C	YAR047C	0	1	0	0	1	1
YAR050W	FLO1	6.891	6	6.89	8.249	5.88	7.677
YAR053W	YAR053W	0	0	0	0	0	0
YAR060C	YAR060C	0	0	1	0	3	1
YAR061W	YAR061W	0	0	0	0	0	0
YAR062W	YAR062W	1	0	0	0	1	1
YAR064W	YAR064W	0	0	0	0	0	0
YAR066W	YAR066W	1	4	11	6	3	5
YAR068W	YAR068W	3	1	3	9	12	9
YAR069C	YAR069C	0	0	1	0	0	0
YAR070C	YAR070C	0	0	0	0	0	0
